x_left,y_left,z_left,x_right,y_right,z_right,x_center,y_center,z_center,lon_center,lat_center
182.098249045281,8.83848109794922,0,182.405589802292,-6.15836996015895,0,182.251882870312,1.34183921457062,0.334842868217698,-86.2334888667863,39.7881321693444
189.021361569987,8.98935210619589,0,189.368098513917,-6.00663980803619,0,189.19468655559,1.49323688645873,0.33484169134721,-86.233407598415,39.7881335311101
195.942655323998,9.1590144653609,0,196.331552119951,-5.83594332991475,0,196.137052430413,1.66351325128254,0.334840514919031,-86.2333263351684,39.7881350626826
202.862044265132,9.34873552737147,0,203.295862476757,-5.64498988558918,0,203.078852595588,1.85535584210667,0.334813821643477,-86.2332450785436,39.7881367882354
209.772270041799,9.55964386389344,0,210.267936410829,-5.43216439430585,0,210.018981500888,2.09766799789815,0.334696696366253,-86.2331638414817,39.788138967743
216.447276295371,9.89768401504004,0,217.466037845823,-5.06768016039253,0,216.953084106124,2.4674885906718,0.334614235717151,-86.23308267496,39.7881422941416
223.113707654845,10.465761023372,0,224.639244704837,-4.45646189109695,0,223.87303672369,3.03829323946136,0.334601244934041,-86.2330016740698,39.788147428317
229.763821429726,11.2570614649614,0,231.780126154952,-3.60680462885925,0,230.769619252063,3.84248575102535,0.33462080585897,-86.2329209467361,39.7881546617294
236.391212956903,12.2649925399864,-0.0498428615783544,238.882810106124,-2.52662480383342,0.0498428615783544,237.635186378432,4.88001907430727,0.334304530233172,-86.2328405824504,39.7881639939556
242.989861576093,13.4831908290378,-0.217086182414863,245.941920689994,-1.22345212535638,0.217086182414863,244.462855574873,6.14499198451944,0.334220421510197,-86.2327606617756,39.7881753719161
249.554663011101,14.9056856089941,-0.384564638951954,252.953118881544,0.295740444940524,0.384564638951954,251.245146402805,7.63830582218413,0.332800726903297,-86.2326812722732,39.7881888037184
256.080440165967,16.5267612945798,-0.552487867627636,259.912021558842,2.02438273002097,0.552487867627636,257.977751997102,9.34551391038512,0.329890293554628,-86.2326024643569,39.7882041594198
262.561834662353,18.3408936261237,-0.721060643485457,266.814071781824,3.95623236908344,0.721060643485457,264.657141184236,11.2527954137739,0.325461041794784,-86.2325242793605,39.7882213147072
268.993559971411,20.3427877143196,-0.89037504248135,273.6547971057,6.0854082784652,0.89037504248135,271.279350209006,13.351214933459,0.319688917739686,-86.2324467636815,39.7882401892099
275.370606501337,22.5274499272082,-1.06060579412478,280.430017375361,8.40645982000242,1.06060579412478,277.840016377616,15.635241862276,0.312661528267304,-86.2323699683868,39.7882607331822
